x	Interpolated_y
10000.000000	8.000000
17500.000000	16.591274
25000.000000	27.542746
32500.000000	40.460414
40000.000000	55.000000
47500.000000	70.866943
55000.000000	87.816406
62500.000000	105.653271
70000.000000	124.232143
77500.000000	143.457345
85000.000000	163.282924
92500.000000	183.712646
100000.000000	204.800000
107500.000000	226.648193
115000.000000	249.410156
122500.000000	273.288539
130000.000000	298.535714
137500.000000	325.453774
145000.000000	354.394531
152500.000000	385.759521
160000.000000	420.000000
